species,matrix,active_ingredient,category_type,cause,dose_amount,dose_unit,frequency_per_day,duration_days,reason,mrl_limit,mrl_unit,withdrawal_period_days
sheep,meat,Amoxicillin,antibiotic,Mycoplasma infection,31.92,g,2,3,Lameness,49.72,ug/kg,6
pig,meat,Doxycycline,antibiotic,Parasitic infestation,33.65,g,2,14,Respiratory distress,48.66,ug/kg,10
goat,meat,Sulfonamides,antibiotic,Nutritional deficiency,6.07,g,1,10,Fever,105.8,ug/kg,14
sheep,meat,Doxycycline,antibiotic,Nutritional deficiency,1.0,tablet,2,5,Cough,45.51,ug/kg,9
cattle,meat,Gentamicin,antibiotic,Contaminated feed/water,5.37,ml,1,7,Poor weight gain,192.33,ug/kg,10
goat,meat,Enrofloxacin,antibiotic,Bacterial infection,33.87,ml,1,5,Wounds,108.07,ug/kg,17
pig,meat,Florfenicol,antibiotic,Contaminated feed/water,749.12,mg,3,2,Lameness,1092.15,ug/kg,3
sheep,meat,Oxytetracycline,antibiotic,Parasitic infestation,671.63,mg,1,1,Lameness,290.26,ug/kg,15
cattle,meat,Enrofloxacin,antibiotic,Fungal infection,5.0,tablet,3,5,Lameness,97.43,ug/kg,20
sheep,meat,Sulfonamides,antibiotic,Mycoplasma infection,2.0,tablet,3,14,Respiratory distress,91.3,ug/kg,16
goat,meat,Enrofloxacin,antibiotic,Protozoal infection,2.0,tablet,1,7,Cough,93.54,ug/kg,17
goat,meat,Amoxicillin,antibiotic,Fungal infection,10.0,tablet,1,1,Fever,48.09,ug/kg,18
sheep,meat,Doxycycline,antibiotic,Secondary bacterial infection,23.12,ml,1,1,Skin lesions,46.12,ug/kg,4
goat,meat,Enrofloxacin,antibiotic,Parasitic infestation,312.69,mg,3,3,Diarrhea,98.98,ug/kg,15
cattle,milk,Tylosin,antibiotic,Bacterial infection,2.0,tablet,2,4,Respiratory distress,109.11,ug/kg,3
sheep,meat,Oxytetracycline,antibiotic,Nutritional deficiency,28.73,ml,3,5,Respiratory distress,320.96,ug/kg,7
cattle,meat,Gentamicin,antibiotic,Bacterial infection,658.54,mg,1,10,Diarrhea,215.1,ug/kg,17
pig,meat,Amoxicillin,antibiotic,Nutritional deficiency,4.9,kg,3,14,Fever,47.98,ug/kg,8
poultry,meat,Doxycycline,antibiotic,Nutritional deficiency,5.0,sachet,2,3,Poor weight gain,50.02,ug/kg,6
cattle,meat,Ceftiofur,antibiotic,Parasitic infestation,13.86,ml,1,7,Reduced production,215.1,ug/kg,9
pig,meat,Enrofloxacin,antibiotic,Nutritional deficiency,9.23,g,1,5,Drop in egg production,107.71,ug/kg,19
sheep,meat,Amoxicillin,antibiotic,Mycoplasma infection,26.13,ml,1,4,Skin lesions,53.44,ug/kg,15
goat,meat,Sulfonamides,antibiotic,Mycoplasma infection,133.75,mg,2,5,Drop in egg production,95.67,ug/kg,14
goat,meat,Enrofloxacin,antibiotic,Secondary bacterial infection,41.49,g,1,4,Drop in egg production,104.18,ug/kg,6
poultry,meat,Oxytetracycline,antibiotic,Poor hygiene,8.93,litre,2,5,Respiratory distress,272.36,ug/kg,10
sheep,meat,Doxycycline,antibiotic,Mycoplasma infection,33.38,g,1,7,Skin lesions,54.25,ug/kg,17
cattle,milk,Tetracycline,antibiotic,Nutritional deficiency,17.64,g,3,7,Cough,98.8,ug/kg,3
sheep,meat,Doxycycline,antibiotic,Poor hygiene,349.58,mg,1,14,Reduced production,51.23,ug/kg,18
sheep,meat,Tylosin,antibiotic,Viral infection,891.96,mg,2,7,Cough,106.64,ug/kg,9
goat,meat,Amoxicillin,antibiotic,Poor hygiene,46.24,ml,3,2,Fever,46.0,ug/kg,20
sheep,meat,Sulfonamides,antibiotic,Mycoplasma infection,43.64,ml,1,2,Diarrhea,106.52,ug/kg,9
pig,meat,Florfenicol,antibiotic,Fungal infection,5.0,tablet,1,5,Poor weight gain,979.52,ug/kg,6
pig,meat,Amoxicillin,antibiotic,Viral infection,21.24,ml,2,1,Fever,49.23,ug/kg,20
pig,meat,Florfenicol,antibiotic,Contaminated feed/water,34.16,g,2,14,Fever,964.38,ug/kg,3
cattle,meat,Ceftriaxone,antibiotic,Viral infection,986.28,mg,2,2,Drop in egg production,208.91,ug/kg,3
sheep,meat,Tylosin,antibiotic,Protozoal infection,906.83,mg,2,3,Cough,102.81,ug/kg,15
poultry,meat,Oxytetracycline,antibiotic,Contaminated feed/water,2.91,kg,2,1,Cough,326.33,ug/kg,6
cattle,meat,Gentamicin,antibiotic,Bacterial infection,0.5,tablet,1,5,Skin lesions,219.16,ug/kg,12
cattle,milk,Amoxicillin,antibiotic,Secondary bacterial infection,46.7,g,1,14,Lameness,3.89,ug/kg,7
pig,meat,Enrofloxacin,antibiotic,Protozoal infection,556.16,mg,1,10,Lameness,92.0,ug/kg,7
cattle,meat,Enrofloxacin,antibiotic,Viral infection,316.41,mg,1,2,Wounds,96.45,ug/kg,19
pig,meat,Florfenicol,antibiotic,Fungal infection,9.01,ml,3,4,Fever,1040.79,ug/kg,13
pig,meat,Enrofloxacin,antibiotic,Bacterial infection,29.48,ml,1,5,Skin lesions,100.15,ug/kg,20
poultry,meat,Oxytetracycline,antibiotic,Poor hygiene,45.89,g,2,7,Wounds,272.64,ug/kg,6
sheep,meat,Tylosin,antibiotic,Protozoal infection,428.39,mg,3,2,Respiratory distress,93.95,ug/kg,19
poultry,meat,Oxytetracycline,antibiotic,Secondary bacterial infection,38.74,g,1,1,Cough,310.46,ug/kg,14
cattle,milk,Penicillin-G,antibiotic,Bacterial infection,33.65,ml,3,14,Lameness,3.92,ug/kg,4
pig,meat,Enrofloxacin,antibiotic,Viral infection,811.06,mg,1,5,Reduced production,100.99,ug/kg,9
sheep,meat,Amoxicillin,antibiotic,Poor hygiene,1.69,ml,2,4,Skin lesions,46.42,ug/kg,3
poultry,meat,Oxytetracycline,antibiotic,Poor hygiene,7.66,g,1,10,Poor weight gain,275.41,ug/kg,14
pig,meat,Enrofloxacin,antibiotic,Secondary bacterial infection,31.08,g,2,1,Cough,92.9,ug/kg,4
poultry,meat,Oxytetracycline,antibiotic,Viral infection,0.89,kg,2,5,Skin lesions,290.92,ug/kg,8
cattle,meat,Ceftriaxone,antibiotic,Nutritional deficiency,10.0,tablet,2,3,Reduced production,219.01,ug/kg,7
pig,meat,Oxytetracycline,antibiotic,Mycoplasma infection,2.82,kg,1,14,Respiratory distress,294.13,ug/kg,13
goat,meat,Sulfonamides,antibiotic,Nutritional deficiency,40.17,ml,2,2,Diarrhea,104.73,ug/kg,5
pig,meat,Doxycycline,antibiotic,Fungal infection,12.16,g,2,14,Lameness,53.03,ug/kg,7
goat,meat,Enrofloxacin,antibiotic,Parasitic infestation,6.03,g,2,4,Skin lesions,98.1,ug/kg,11
pig,meat,Amoxicillin,antibiotic,Secondary bacterial infection,809.66,mg,2,4,Lameness,46.64,ug/kg,7
pig,meat,Tylosin,antibiotic,Fungal infection,417.18,mg,2,2,Diarrhea,95.11,ug/kg,6
poultry,egg,Oxytetracycline,antibiotic,Nutritional deficiency,9.17,litre,1,4,Cough,289.02,ug/kg,14
poultry,meat,Enrofloxacin,antibiotic,Fungal infection,6.76,litre,2,10,Wounds,94.44,ug/kg,14
sheep,meat,Oxytetracycline,antibiotic,Nutritional deficiency,21.14,ml,2,4,Poor weight gain,302.71,ug/kg,16
poultry,meat,Oxytetracycline,antibiotic,Protozoal infection,7.6,litre,3,14,Drop in egg production,309.23,ug/kg,10
pig,meat,Florfenicol,antibiotic,Nutritional deficiency,0.87,kg,2,2,Respiratory distress,1033.2,ug/kg,7
goat,meat,Tylosin,antibiotic,Nutritional deficiency,40.63,g,1,7,Poor weight gain,102.1,ug/kg,18
poultry,egg,Tylosin,antibiotic,Bacterial infection,1.0,sachet,3,5,Respiratory distress,99.54,ug/kg,5
pig,meat,Oxytetracycline,antibiotic,Protozoal infection,2.5,kg,2,3,Skin lesions,325.8,ug/kg,17
cattle,meat,Ceftriaxone,antibiotic,Bacterial infection,22.4,ml,1,3,Skin lesions,185.77,ug/kg,4
cattle,milk,Penicillin-G,antibiotic,Mycoplasma infection,25.18,ml,3,14,Wounds,4.07,ug/kg,4
poultry,egg,Doxycycline,antibiotic,Mycoplasma infection,3.46,litre,2,2,Fever,50.41,ug/kg,7
cattle,meat,Enrofloxacin,antibiotic,Nutritional deficiency,26.69,g,2,5,Respiratory distress,91.22,ug/kg,12
goat,meat,Oxytetracycline,antibiotic,Poor hygiene,370.86,mg,3,2,Respiratory distress,314.03,ug/kg,17
cattle,meat,Amoxicillin,antibiotic,Secondary bacterial infection,880.83,mg,3,2,Fever,48.39,ug/kg,18
goat,meat,Tylosin,antibiotic,Nutritional deficiency,834.48,mg,1,7,Poor weight gain,103.54,ug/kg,19
pig,meat,Tylosin,antibiotic,Parasitic infestation,22.83,ml,2,4,Fever,107.34,ug/kg,8
pig,meat,Amoxicillin,antibiotic,Mycoplasma infection,962.58,mg,3,4,Fever,46.59,ug/kg,11
sheep,meat,Enrofloxacin,antibiotic,Viral infection,5.0,tablet,1,10,Poor weight gain,109.86,ug/kg,20
